alcool,acidez_volatil,sulfatos,acido_citrico,qualidade_vinho
9.4,0.7,0.56,0.0,5
9.8,0.88,0.68,0.0,5
9.8,0.76,0.65,0.04,5
9.8,0.28,0.58,0.56,6
9.4,0.7,0.56,0.0,5
9.4,0.66,0.56,0.0,5
9.4,0.6,0.46,0.06,5
10.0,0.65,0.47,0.0,7
9.5,0.58,0.57,0.02,7
10.5,0.5,0.8,0.36,5
9.2,0.58,0.54,0.08,5
10.5,0.5,0.8,0.36,5
9.9,0.615,0.52,0.0,5
9.1,0.61,1.56,0.29,5
9.2,0.62,0.88,0.18,5
9.2,0.62,0.93,0.19,5
10.5,0.28,0.75,0.56,7
9.3,0.56,1.28,0.28,5
9.0,0.59,0.5,0.08,4
9.2,0.32,1.08,0.51,6
9.4,0.22,0.53,0.48,6
9.7,0.39,0.65,0.31,5
9.5,0.43,0.91,0.21,5
9.4,0.49,0.53,0.11,5
9.7,0.4,0.63,0.14,6
9.3,0.39,0.56,0.16,5
9.5,0.41,0.59,0.24,5
9.5,0.43,0.91,0.21,5
9.4,0.71,0.55,0.0,5
9.8,0.645,0.59,0.0,6
10.1,0.675,0.54,0.07,5
10.6,0.685,0.57,0.0,6
9.8,0.655,0.66,0.12,5
9.4,0.605,0.52,0.12,6
9.2,0.32,0.55,0.25,5
9.6,0.645,0.55,0.0,6
10.8,0.6,0.6,0.14,6
9.7,0.38,0.73,0.28,7
9.8,1.13,0.48,0.09,4
10.5,0.45,0.83,0.36,5
10.5,0.45,0.83,0.36,5
9.3,0.61,0.51,0.3,4
10.5,0.49,0.9,0.2,6
10.3,0.66,1.2,0.22,5
9.5,0.67,0.52,0.02,5
13.1,0.52,0.56,0.15,4
9.2,0.935,0.73,0.43,5
9.5,0.29,0.58,0.52,5
9.2,0.4,0.56,0.23,5
9.2,0.31,0.58,0.37,5
9.2,0.66,0.74,0.26,5
9.4,0.52,0.63,0.04,6
9.4,0.5,0.64,0.04,6
9.4,0.38,0.56,0.36,5
10.2,0.51,0.63,0.15,6
9.5,0.62,0.53,0.04,5
9.6,0.42,0.63,0.57,5
9.4,0.63,0.77,0.12,5
10.0,0.59,0.59,0.18,5
9.4,0.39,0.54,0.31,6
9.2,0.4,0.64,0.4,5
9.3,0.69,0.71,0.49,5
9.5,0.52,0.62,0.16,7
9.8,0.735,0.57,0.05,5
10.9,0.725,0.39,0.05,5
10.9,0.725,0.39,0.05,5
9.6,0.52,0.58,0.11,5
10.7,0.705,0.58,0.07,5
10.7,0.32,0.79,0.57,5
10.5,0.705,0.95,0.05,6
9.5,0.63,0.54,0.08,6
9.5,0.67,0.48,0.23,5
9.5,0.69,0.48,0.22,5
9.2,0.675,0.53,0.26,4
9.6,0.32,0.82,0.54,5
10.5,0.41,0.66,0.64,5
10.5,0.41,0.66,0.64,5
10.7,0.785,0.55,0.0,6
10.1,0.75,0.52,0.12,5
9.1,0.625,1.12,0.2,4
9.2,0.45,0.56,0.2,5
9.4,0.43,1.28,0.7,5
9.1,0.5,0.57,0.47,5
9.4,0.67,1.14,0.26,5
10.3,0.3,0.78,0.48,6
10.1,0.55,0.59,0.15,5
9.9,0.49,1.95,0.28,6
9.6,0.49,0.64,0.26,5
9.5,0.39,1.22,0.44,5
9.0,0.62,0.53,0.08,5
9.5,0.52,0.54,0.26,5
9.9,0.49,1.95,0.28,6
9.8,0.49,1.98,0.29,5
9.6,0.49,0.64,0.26,5
10.5,1.02,0.48,0.04,4
12.9,0.6,0.6,0.17,6
10.7,0.775,0.56,0.0,5
9.2,0.5,0.63,0.25,5
9.8,0.9,0.56,0.06,5
9.0,0.545,0.59,0.18,6
10.2,0.61,0.61,0.3,6
10.4,0.5,0.56,0.3,6
9.0,0.545,0.59,0.18,6
9.2,0.575,0.51,0.22,5
9.4,0.49,0.48,0.24,5
9.2,0.575,0.51,0.22,5
9.3,0.41,1.31,0.68,5
9.3,0.63,0.79,0.31,5
9.6,0.33,0.8,0.53,6
9.3,0.785,0.69,0.52,5
9.5,0.56,0.93,0.19,5
9.8,0.62,0.66,0.09,5
9.8,0.6,0.66,0.1,5
9.7,0.31,0.67,0.44,6
9.5,0.56,0.93,0.19,5
10.5,0.4,0.63,0.31,6
10.0,0.54,0.61,0.28,6
9.4,0.56,0.5,0.12,6
10.9,0.55,0.6,0.04,6
9.2,0.69,0.54,0.08,6
9.0,1.07,0.57,0.09,5
10.9,0.55,0.6,0.04,6
9.2,0.695,0.52,0.0,5
9.5,0.71,0.53,0.0,5
9.5,0.5,0.48,0.17,5
9.4,0.62,0.7,0.04,5
10.9,1.33,0.49,0.0,5
10.9,1.33,0.48,0.0,5
10.5,0.59,0.92,0.16,7
9.4,0.38,0.57,0.15,5
9.4,0.745,0.66,0.56,5
13.0,0.5,0.63,0.09,5
13.0,0.5,0.63,0.09,5
9.8,0.5,0.58,0.01,6
9.9,1.04,0.55,0.05,6
9.6,0.745,0.82,0.11,5
9.5,0.715,0.77,0.15,5
9.2,0.415,0.64,0.36,5
9.5,0.56,0.54,0.19,5
9.5,0.56,0.54,0.19,5
9.6,0.745,0.82,0.11,5
9.5,0.715,0.77,0.15,5
14.0,0.34,0.79,0.0,6
9.4,0.39,0.58,0.08,5
14.0,0.34,0.79,0.0,6
9.4,0.67,0.62,0.55,5
10.0,0.68,0.52,0.02,5
9.3,0.49,0.8,0.26,5
10.2,0.49,0.58,0.1,6
10.5,0.4,0.61,0.44,6
10.3,0.33,0.53,0.47,6
9.4,0.52,2.0,1.0,4
10.1,0.6,0.54,0.03,5
10.1,0.6,0.54,0.03,5
10.5,0.43,0.72,0.42,5
10.5,0.43,0.71,0.42,5
10.5,0.43,0.72,0.42,5
10.5,0.43,0.71,0.42,5
9.3,0.68,0.5,0.0,5
9.3,0.6,0.57,0.18,6
9.6,0.95,0.56,0.03,5
9.2,0.68,1.08,0.02,4
10.0,0.53,0.56,0.04,6
9.4,0.6,0.49,0.26,5
9.4,0.59,0.49,0.26,5
9.5,0.63,0.62,0.48,5
10.2,0.64,0.52,0.1,5
9.0,0.55,0.48,0.03,4
10.4,0.63,0.55,0.07,6
9.5,0.705,1.59,0.24,5
9.1,0.885,0.33,0.03,4
9.2,0.42,0.61,0.17,6
9.2,0.42,0.61,0.17,6
11.5,0.62,0.57,0.05,6
9.5,0.38,0.47,0.21,5
9.5,0.5,0.78,0.04,5
9.5,0.38,0.47,0.21,5
10.5,0.52,0.61,0.42,6
9.6,0.805,0.56,0.0,5
9.5,0.61,0.59,0.14,5
9.5,0.61,0.59,0.14,5
9.3,0.61,1.02,0.49,5
9.3,0.73,0.52,0.02,5
9.3,0.61,0.58,0.2,5
9.3,0.62,0.58,0.21,6
9.7,0.31,0.53,0.57,5
9.2,0.39,0.55,0.48,5
9.7,0.705,0.49,0.1,5
9.5,0.5,0.55,0.33,5
9.5,0.49,0.55,0.32,5
9.4,0.5,0.62,0.35,5
9.8,0.37,0.62,0.25,6
9.5,0.63,0.61,0.12,5
9.7,0.55,0.55,0.21,5
9.7,0.55,0.55,0.21,5
9.4,0.59,0.54,0.33,5
10.2,0.58,0.59,0.3,5
10.1,0.3,0.97,0.6,6
13.0,0.835,0.85,0.08,7
11.4,1.09,0.43,0.06,4
10.3,0.32,0.82,0.47,7
9.3,0.37,1.03,0.48,5
9.5,0.5,0.79,0.11,5
9.2,0.42,0.55,0.35,5
9.2,0.43,0.56,0.36,6
10.8,0.3,0.77,0.74,7
10.8,0.3,0.77,0.74,7
9.3,0.57,0.53,0.31,5
9.4,0.44,0.67,0.28,5
10.5,0.3,0.88,0.58,7
12.4,0.53,0.86,0.6,6
10.0,0.725,0.56,0.24,6
10.2,0.44,0.67,0.64,6
10.1,0.57,0.43,0.26,5
9.8,0.735,0.71,0.08,6
10.5,0.49,0.76,0.49,5
11.0,0.625,0.57,0.16,5
9.1,0.725,0.55,0.22,5
9.7,0.49,0.54,0.19,5
9.5,0.53,0.6,0.33,5
9.4,0.34,0.59,0.37,6
9.4,0.53,0.57,0.26,5
9.5,0.61,0.6,0.04,5
10.0,0.645,0.6,0.25,6
10.4,0.635,0.57,0.36,4
10.5,0.43,0.58,0.25,6
9.5,0.59,1.61,0.5,6
9.8,0.82,0.63,0.14,5
10.5,0.43,0.58,0.25,6
11.0,0.52,0.5,0.25,5
12.2,0.48,0.62,0.04,7
9.9,0.38,0.52,0.06,6
9.6,0.37,0.7,0.2,6
11.0,0.52,0.5,0.25,5
9.0,1.0,0.55,0.09,6
9.0,0.63,0.58,0.0,6
9.0,0.63,0.58,0.0,6
9.2,0.645,0.58,0.0,6
9.0,0.63,0.58,0.0,6
9.0,1.0,0.55,0.09,6
9.3,0.635,1.09,0.37,5
10.9,0.38,0.71,0.56,6
9.8,0.58,0.49,0.1,6
9.2,0.21,0.84,0.44,7
9.2,0.21,0.84,0.44,7
9.9,0.66,0.96,0.0,6
9.5,0.68,0.52,0.07,5
9.3,0.6,0.45,0.17,5
9.8,0.53,0.48,0.06,6
9.9,0.66,0.96,0.0,6
10.0,0.32,0.78,0.44,6
9.9,0.6,0.7,0.0,6
10.5,0.35,0.53,0.48,5
9.5,0.775,0.59,0.42,5
9.9,0.6,0.7,0.0,6
9.3,0.57,0.57,0.23,5
9.2,0.34,0.62,0.37,5
9.2,0.695,0.67,0.0,5
9.4,0.41,1.26,0.76,5
10.5,0.31,0.8,0.47,7
9.3,0.33,0.65,0.23,5
9.4,0.975,0.6,0.04,4
10.0,0.52,0.57,0.03,5
9.3,0.37,0.67,0.23,5
10.9,0.56,0.87,0.49,5
10.2,0.26,0.72,0.52,7
9.8,0.87,0.72,0.0,4
12.8,0.35,0.86,0.46,8
9.4,0.54,0.91,0.04,6
10.1,0.18,0.97,0.51,6
10.7,0.545,0.67,0.06,6
10.1,0.18,0.97,0.51,6
10.1,0.37,0.78,0.58,5
9.4,0.715,0.64,0.2,5
9.4,0.65,0.77,0.18,5
10.7,0.545,0.67,0.06,6
9.4,0.54,0.91,0.04,6
10.1,0.18,0.97,0.51,6
12.6,0.32,0.82,0.45,8
10.5,0.4,0.77,0.32,7
9.3,0.26,0.82,0.44,6
9.9,0.27,1.08,0.68,7
9.1,0.52,0.57,0.12,5
10.5,0.4,0.77,0.32,7
9.8,0.59,0.71,0.07,5
9.8,0.59,0.71,0.07,5
10.3,0.45,0.76,0.55,6
10.3,0.4,0.7,0.12,6
10.6,0.52,0.86,0.09,7
9.2,0.42,0.95,0.53,5
10.6,0.52,0.86,0.09,7
10.5,0.2,0.71,0.48,5
10.3,0.55,0.64,0.23,6
10.1,0.36,0.6,0.25,6
9.5,0.34,0.81,0.52,6
9.5,0.5,0.64,0.46,5
9.9,0.83,0.52,0.37,5
9.6,0.63,0.73,0.06,5
9.7,0.65,0.8,0.02,5
9.6,0.67,0.71,0.06,5
10.7,0.53,0.59,0.06,6
10.1,0.18,0.64,0.48,6
10.0,0.705,0.72,0.12,5
9.5,0.67,0.54,0.12,5
9.2,0.65,0.52,0.6,5
9.3,0.53,0.59,0.48,6
9.4,0.62,0.52,0.32,5
9.5,0.41,0.62,0.42,6
9.5,0.43,0.63,0.44,6
9.5,0.29,0.53,0.38,6
9.3,0.53,0.59,0.48,6
9.4,0.53,0.54,0.24,6
9.5,0.46,0.63,0.31,6
9.4,0.47,0.53,0.3,5
11.0,0.36,0.68,0.29,5
11.0,0.35,0.65,0.29,6
10.1,0.56,0.65,0.23,5
10.4,0.77,0.64,0.12,6
11.5,0.66,0.71,0.39,7
10.4,0.77,0.64,0.12,6
11.5,0.66,0.71,0.39,7
9.7,0.61,0.62,0.26,5
9.3,0.62,0.63,0.05,5
9.5,0.59,0.7,0.42,6
9.2,0.49,0.69,0.2,6
9.2,0.49,0.69,0.2,6
11.5,0.53,0.74,0.66,7
11.5,0.44,0.83,0.5,5
9.7,0.27,0.67,0.62,6
9.5,0.46,0.62,0.39,5
12.5,0.36,0.66,0.64,6
12.5,0.36,0.66,0.64,6
9.4,0.58,0.54,0.28,6
11.0,0.56,0.52,0.08,5
11.7,0.65,0.74,0.01,7
12.2,0.695,0.84,0.53,7
12.5,0.43,0.7,0.45,6
10.3,0.43,0.64,0.32,5
11.5,0.49,1.0,0.58,6
9.8,0.28,1.36,0.54,7
9.2,0.34,1.18,0.5,6
11.3,0.42,0.87,0.48,6
9.8,0.39,0.75,0.47,6
9.8,0.39,0.75,0.47,6
10.7,0.57,0.78,0.5,6
9.9,0.685,0.81,0.0,5
12.3,0.815,0.89,0.02,7
12.0,0.49,0.93,0.67,6
10.0,0.56,0.92,0.31,6
9.4,0.785,0.86,0.0,6
9.9,0.67,0.98,0.22,6
9.4,0.795,0.83,0.0,6
9.3,0.665,0.73,0.0,5
13.0,0.53,0.77,0.79,5
11.9,0.21,0.59,0.4,6
12.8,0.75,0.61,0.01,6
11.0,0.41,0.88,0.52,5
11.7,0.42,0.75,0.66,7
10.4,0.43,0.85,0.66,7
9.8,0.38,0.68,0.66,6
9.4,0.7,0.7,0.23,5
9.9,0.45,0.91,0.31,6
10.0,0.58,0.56,0.66,5
10.2,0.46,0.87,0.63,5
10.0,0.615,0.73,0.66,7
11.8,0.42,0.93,0.5,6
10.0,0.615,0.73,0.66,7
9.0,0.575,0.69,0.61,5
9.4,0.34,0.64,0.52,5
12.0,0.27,1.13,0.53,7
9.9,0.765,0.78,0.02,5
8.7,0.24,0.87,0.4,6
10.6,0.28,1.04,0.48,6
9.2,0.55,0.63,0.22,5
10.8,0.41,0.81,0.63,6
11.8,0.54,0.83,0.71,7
11.0,0.45,1.11,0.5,6
12.0,0.27,1.13,0.53,7
13.3,0.625,0.99,0.66,6
10.8,0.42,0.7,0.38,6
9.4,0.26,0.8,0.42,6
10.0,0.415,0.8,0.68,6
9.4,0.26,0.8,0.42,6
9.4,0.26,0.8,0.42,6
9.2,0.51,0.74,0.28,5
9.7,0.63,0.76,0.07,6
9.2,0.54,0.74,0.26,6
9.6,0.66,0.54,0.15,6
9.2,0.46,0.74,0.26,6
10.0,0.38,0.7,0.31,7
12.9,0.85,0.82,0.05,8
10.0,0.415,0.8,0.68,6
9.5,0.37,0.51,0.52,5
9.1,0.665,0.54,0.61,5
9.9,0.6,0.57,0.65,5
13.0,0.37,0.6,0.76,7
9.9,0.735,0.53,0.02,5
11.0,0.59,0.65,0.59,6
11.0,0.59,0.65,0.59,6
9.4,0.765,0.55,0.22,5
9.9,0.735,0.53,0.02,5
10.8,0.26,0.47,0.3,6
10.5,0.48,0.61,0.54,6
10.5,0.6,0.63,0.49,6
9.1,0.69,0.61,0.05,5
10.1,0.31,0.76,0.46,6
10.8,0.44,0.65,0.47,6
10.8,0.39,0.63,0.66,7
11.3,0.34,0.7,0.58,6
9.6,0.46,0.57,0.49,4
9.5,0.43,0.62,0.34,6
9.5,0.45,0.62,0.35,5
9.3,0.735,0.64,0.16,5
11.7,0.4,0.82,0.53,7
9.5,0.52,0.61,0.34,5
9.3,0.725,1.07,0.24,5
11.7,0.48,0.66,0.64,6
10.5,0.58,0.48,0.12,5
10.4,0.38,0.76,0.51,6
9.9,0.77,0.68,0.0,5
11.8,0.56,0.73,0.33,7
12.3,0.84,0.56,0.03,7
10.9,0.96,0.44,0.2,5
11.0,0.24,0.9,0.47,7
10.9,0.96,0.44,0.2,5
12.3,0.84,0.56,0.03,7
11.4,0.67,0.49,0.08,6
10.6,0.78,0.56,0.22,6
9.3,0.52,0.6,0.33,5
10.4,0.84,0.6,0.63,6
11.0,0.24,0.9,0.47,7
9.2,0.55,0.56,0.35,5
12.8,0.37,0.65,0.69,6
9.5,0.39,0.49,0.63,5
9.9,0.41,0.89,0.55,6
9.5,0.39,0.49,0.63,5
10.2,0.67,0.56,0.3,6
11.2,0.45,0.66,0.73,6
9.9,0.41,0.89,0.55,6
9.3,0.62,0.6,0.18,5
9.8,0.31,0.82,0.72,8
11.3,0.4,0.68,0.65,6
11.2,0.685,0.68,0.76,7
11.6,0.44,0.63,0.49,7
12.5,0.57,0.84,0.01,7
10.1,0.735,0.56,0.1,6
10.5,0.38,0.73,0.6,5
11.2,0.48,0.72,0.29,5
10.2,0.53,0.56,0.22,6
10.8,0.39,0.61,0.69,6
10.8,0.39,0.61,0.69,6
9.1,0.37,1.06,0.53,6
10.0,0.56,0.63,0.03,6
11.2,0.33,0.74,0.63,7
11.1,0.23,0.63,0.4,5
13.4,0.62,0.69,0.67,8
10.3,0.59,0.58,0.39,5
9.6,0.63,0.58,0.21,5
11.2,0.33,0.74,0.63,7
9.0,0.58,0.57,0.66,3
11.3,0.43,0.61,0.52,6
9.3,0.615,0.61,0.22,5
11.8,0.26,0.61,0.68,5
9.0,0.66,0.53,0.7,5
9.2,0.315,0.7,0.54,6
9.7,0.29,0.91,0.4,5
11.5,0.5,0.72,0.42,6
14.0,0.46,0.79,0.45,6
9.2,0.36,0.62,0.69,6
9.8,0.82,0.58,0.02,5
10.6,0.32,0.61,0.65,5
11.4,0.54,0.71,0.42,6
10.4,0.37,0.82,0.55,6
10.6,0.35,0.79,0.55,5
9.4,0.28,0.89,0.51,6
10.2,0.68,0.6,0.24,5
9.7,0.27,0.7,0.41,5
11.0,0.24,1.06,0.49,6
10.2,0.68,0.6,0.24,5
10.1,0.685,0.7,0.11,6
9.2,0.28,0.66,0.39,5
11.7,0.3,0.92,0.56,8
9.4,0.36,1.05,0.59,5
9.4,0.36,1.06,0.6,5
13.4,0.44,0.66,0.68,6
10.0,0.67,0.47,0.39,5
10.0,0.67,0.47,0.39,5
10.0,0.645,0.42,0.36,6
10.8,0.32,0.92,0.55,7
10.2,0.39,0.75,0.4,6
10.6,0.775,0.67,0.27,6
13.3,0.41,0.79,0.5,7
13.4,0.4,0.9,0.51,7
11.6,0.69,0.74,0.31,6
12.1,0.39,0.55,0.23,6
11.0,0.35,0.65,0.53,8
9.0,0.52,0.65,0.25,6
11.1,0.34,0.79,0.32,5
11.0,0.35,0.65,0.53,8
11.6,0.69,0.74,0.31,6
9.0,0.52,0.65,0.25,6
12.0,0.44,0.85,0.73,7
12.0,0.44,0.85,0.73,7
10.9,0.26,1.04,0.47,7
10.8,0.24,1.05,0.42,7
12.5,0.49,0.78,0.63,7
10.8,0.24,1.02,0.46,7
9.5,0.67,0.71,0.55,6
10.2,0.59,0.63,0.31,6
11.4,0.29,0.68,0.75,7
9.5,0.42,0.61,0.49,5
10.2,0.59,0.63,0.31,6
9.7,0.4,0.81,0.48,6
11.8,0.51,0.66,0.64,7
11.8,0.51,0.66,0.64,7
9.3,0.655,1.14,0.49,5
11.9,0.6,0.74,0.49,6
8.4,0.61,0.63,0.49,3
11.7,0.21,0.68,0.49,6
11.0,0.365,0.78,0.49,5
10.0,0.25,0.9,0.49,6
9.1,0.41,0.64,0.49,5
9.8,0.39,0.99,0.49,5
9.4,0.4,0.55,0.49,5
9.5,0.43,0.64,0.49,5
9.9,0.64,0.67,0.24,5
11.0,0.365,0.78,0.49,5
11.4,0.38,0.77,0.49,6
8.7,0.42,0.75,0.49,6
9.4,0.63,0.57,0.24,5
10.3,0.22,0.87,0.24,6
10.3,0.38,0.61,0.49,5
10.3,0.38,0.61,0.49,5
12.8,0.27,0.66,0.24,6
