alcool,acidez_volatil,sulfatos,acido_citrico,qualidade_vinho
10.9,0.31,0.83,0.53,7
10.8,0.62,0.62,0.35,5
11.1,0.33,0.89,0.45,7
9.2,0.77,0.58,0.2,5
9.5,0.35,0.58,0.26,6
10.7,0.62,0.58,0.33,6
9.2,0.77,0.58,0.2,5
10.2,0.25,0.86,0.34,7
11.4,0.32,0.73,0.56,6
11.0,0.37,0.58,0.65,5
11.0,0.37,0.58,0.65,5
12.3,0.3,0.51,0.68,7
11.8,0.27,0.51,0.56,6
12.3,0.3,0.51,0.68,7
9.5,0.38,0.59,0.3,6
12.0,0.42,0.77,0.45,6
9.5,0.38,0.59,0.3,6
9.6,0.48,0.49,0.08,5
11.6,0.34,0.66,0.4,7
11.2,0.19,0.69,0.42,6
9.9,0.41,0.76,0.54,7
9.9,0.41,0.76,0.54,7
11.8,0.26,0.63,0.54,8
11.4,0.34,0.6,0.42,6
11.5,0.54,0.59,0.09,6
12.0,0.31,0.86,0.36,7
10.8,0.725,0.49,0.09,6
10.5,0.4,0.5,0.47,5
10.8,0.725,0.49,0.09,6
9.4,0.52,0.52,0.38,5
12.5,0.31,0.81,0.45,7
9.4,0.52,0.52,0.38,5
12.4,0.34,0.78,0.42,6
12.0,0.49,0.63,0.27,6
11.2,0.48,0.54,0.09,6
12.0,0.49,0.63,0.27,6
12.4,0.48,0.66,0.34,6
12.8,0.57,0.6,0.28,5
12.3,0.23,0.54,0.42,6
11.7,0.3,0.85,0.41,7
9.5,0.78,0.49,0.1,5
10.8,0.47,0.76,0.43,6
10.0,0.53,0.64,0.0,6
12.3,0.42,0.64,0.27,7
11.0,0.33,0.71,0.41,6
9.5,0.24,0.59,0.39,6
13.6,0.4,0.66,0.5,6
11.3,0.69,0.6,0.07,6
11.3,0.69,0.6,0.07,6
11.3,0.69,0.6,0.07,6
13.3,0.39,0.53,0.12,6
12.9,0.66,0.58,0.0,5
13.1,0.54,0.72,0.34,8
12.3,0.5,0.55,0.0,6
12.3,0.47,0.48,0.0,6
11.2,0.4,0.65,0.37,6
11.5,0.58,0.62,0.0,4
11.3,0.24,0.59,0.35,7
13.5,0.29,0.54,0.26,6
11.5,0.76,0.6,0.0,6
10.0,0.43,0.68,0.33,5
10.5,0.43,0.69,0.35,6
10.4,0.6,0.63,0.0,6
9.5,0.19,0.44,0.21,5
13.6,0.36,0.88,0.34,7
11.2,0.48,0.68,0.07,7
11.8,0.28,0.74,0.35,7
11.9,0.25,0.6,0.43,6
11.4,0.52,0.76,0.45,6
11.4,0.52,0.76,0.45,6
9.1,0.41,0.58,0.15,5
9.5,0.51,0.64,0.24,6
9.5,0.4,0.65,0.3,6
11.0,0.38,0.85,0.32,6
11.4,0.45,0.65,0.11,6
10.0,0.22,0.82,0.3,6
10.1,0.32,0.62,0.23,5
10.4,0.2,0.81,0.43,6
9.8,0.5,0.87,0.12,6
11.8,0.41,0.49,0.45,7
11.6,0.39,0.66,0.42,6
12.0,0.35,0.52,0.47,6
12.8,0.33,0.76,0.32,7
12.5,0.58,0.65,0.23,6
9.8,0.6,0.53,0.25,5
11.1,0.42,0.66,0.35,6
11.4,0.58,0.68,0.0,6
9.8,0.6,0.53,0.25,5
11.8,0.18,0.76,0.51,7
12.9,0.51,0.87,0.18,7
10.6,0.41,1.16,0.43,6
10.8,0.41,0.67,0.43,5
11.1,0.36,0.72,0.57,7
10.2,0.45,0.75,0.43,6
11.8,0.32,0.71,0.42,7
10.0,0.785,0.67,0.24,5
10.0,0.785,0.67,0.24,5
9.4,0.44,1.1,0.5,5
10.2,0.54,0.98,0.26,5
12.4,0.33,0.88,0.39,7
12.0,0.34,0.56,0.27,6
11.5,0.5,0.62,0.29,6
10.5,0.36,0.67,0.34,6
10.8,0.59,0.68,0.0,6
12.3,0.42,0.74,0.46,6
9.5,0.36,0.62,0.31,6
9.5,0.36,0.62,0.31,6
11.5,0.61,0.7,0.0,6
11.2,0.88,0.5,0.03,4
12.7,0.66,0.66,0.0,7
11.4,0.915,0.73,0.0,5
11.0,0.35,0.81,0.33,6
11.0,0.35,0.81,0.33,6
11.4,0.39,0.46,0.43,5
10.5,0.4,0.86,0.4,6
9.3,0.66,0.6,0.07,5
10.9,0.64,0.7,0.23,5
11.9,0.43,0.46,0.3,6
12.2,0.8,0.5,0.03,5
11.9,0.43,0.46,0.3,6
10.9,0.64,0.7,0.23,5
9.6,0.955,0.44,0.05,4
12.5,0.4,0.57,0.57,6
10.8,0.885,0.51,0.0,5
12.4,0.25,0.8,0.37,7
10.8,0.885,0.51,0.0,5
9.5,0.745,0.59,0.12,6
9.5,0.43,0.6,0.22,6
9.5,0.58,0.58,0.23,6
9.8,0.57,0.54,0.21,6
10.9,0.26,0.79,0.26,6
9.5,0.58,0.58,0.23,6
9.8,0.57,0.54,0.21,6
11.2,0.34,0.54,0.36,7
11.7,0.42,0.69,0.39,8
9.4,0.74,0.55,0.19,5
11.0,0.36,0.85,0.46,7
11.0,0.36,0.85,0.46,7
11.0,0.36,0.85,0.46,7
10.0,0.72,0.94,0.55,5
11.0,0.36,0.85,0.46,7
11.2,0.39,0.87,0.43,7
10.4,0.65,0.62,0.02,6
9.3,0.44,0.62,0.15,5
10.4,0.65,0.62,0.02,6
10.5,0.38,0.75,0.42,6
10.4,0.33,0.48,0.46,6
11.3,0.27,0.56,0.46,6
9.5,0.57,0.69,0.31,6
12.0,0.34,0.81,0.37,6
10.6,0.4,0.69,0.31,6
10.9,0.39,0.83,0.4,6
11.5,0.32,0.77,0.52,6
11.5,0.32,0.77,0.52,6
9.6,0.53,0.46,0.22,6
12.0,0.36,0.76,0.47,6
10.3,0.39,0.82,0.49,6
9.4,0.46,0.51,0.23,5
9.2,0.58,0.47,0.03,5
9.6,0.58,0.72,0.25,5
13.6,0.42,0.73,0.0,7
9.5,0.43,0.64,0.29,5
11.8,0.18,0.78,0.34,6
10.8,0.815,0.62,0.01,5
9.5,0.43,0.64,0.29,5
9.3,0.23,0.49,0.37,4
12.8,0.75,0.4,0.01,6
11.5,0.33,0.56,0.32,4
9.4,0.55,0.64,0.0,6
12.8,0.75,0.4,0.01,6
9.6,0.73,0.46,0.0,4
11.8,0.67,0.56,0.0,4
9.3,0.61,0.4,0.2,5
9.8,0.37,0.59,0.39,5
12.2,0.4,0.6,0.41,6
9.5,0.56,0.62,0.22,5
10.3,0.29,0.54,0.25,6
10.5,0.55,0.68,0.19,5
10.0,0.74,0.48,0.07,5
10.5,0.55,0.68,0.19,5
11.1,0.41,0.75,0.33,6
10.9,0.6,0.61,0.01,6
10.9,0.6,0.61,0.01,6
9.8,0.58,0.59,0.14,5
9.8,0.72,0.58,0.0,5
9.5,0.66,0.58,0.0,5
10.9,0.7,0.69,0.06,5
11.0,0.64,0.45,0.02,5
9.2,0.59,0.42,0.22,5
11.0,0.58,0.7,0.28,6
11.3,0.64,0.63,0.0,6
11.3,0.64,0.63,0.0,6
9.3,0.635,1.15,0.68,5
11.2,1.02,0.55,0.0,4
9.8,0.45,0.58,0.38,5
9.6,0.78,0.46,0.0,4
11.8,0.37,0.72,0.32,6
10.3,0.57,0.6,0.05,6
10.3,0.57,0.6,0.05,6
11.4,0.43,0.87,0.5,6
9.5,0.41,0.55,0.31,6
14.0,0.49,0.82,0.03,8
14.0,0.38,0.75,0.01,6
11.7,0.44,0.57,0.2,6
11.2,0.46,0.53,0.0,5
9.3,0.58,0.43,0.2,5
11.2,0.58,0.53,0.13,6
9.5,0.715,0.54,0.22,6
12.0,0.4,0.56,0.4,4
9.7,0.69,0.6,0.0,6
9.5,0.715,0.54,0.22,6
11.5,0.3,0.57,0.39,7
10.4,0.46,0.64,0.2,6
10.4,0.46,0.64,0.2,6
10.9,0.765,0.68,0.0,6
10.2,0.63,0.63,0.28,6
10.9,0.42,0.56,0.19,5
10.5,0.37,0.57,0.5,5
12.4,0.16,0.54,0.44,6
13.0,0.6,0.37,0.08,5
10.2,0.6,1.17,0.3,5
10.2,0.6,1.17,0.3,5
11.0,0.74,0.59,0.0,5
10.9,0.635,0.75,0.1,6
12.4,0.395,0.67,0.13,6
9.7,0.755,0.49,0.0,4
10.9,0.635,0.75,0.1,6
9.5,0.63,0.45,0.0,5
9.5,0.63,0.45,0.0,5
12.1,0.53,0.61,0.14,6
12.2,0.6,0.56,0.0,6
10.9,1.58,0.4,0.0,3
12.5,0.645,0.61,0.0,6
11.7,0.86,0.74,0.07,6
11.2,0.37,0.8,0.32,6
11.2,0.28,0.66,0.44,5
9.2,0.79,0.44,0.21,5
9.8,0.61,0.53,0.26,5
10.1,0.69,0.62,0.32,5
11.1,0.68,0.52,0.09,4
10.1,0.69,0.62,0.32,5
9.2,0.62,0.61,0.1,5
9.8,0.61,0.53,0.26,5
12.8,0.51,0.59,0.15,6
10.5,1.18,0.47,0.21,5
10.1,0.36,0.54,0.21,6
10.1,0.36,0.53,0.21,6
9.8,0.63,0.58,0.27,6
12.5,0.74,0.59,0.0,6
11.9,0.44,0.69,0.46,6
9.8,0.63,0.58,0.27,6
9.1,0.76,1.33,0.68,6
10.1,0.66,0.66,0.34,5
12.5,0.74,0.59,0.0,6
11.4,0.34,0.55,0.42,5
11.0,0.36,0.82,0.39,7
10.6,0.46,0.6,0.24,6
10.6,0.46,0.6,0.24,6
10.6,0.46,0.6,0.24,6
10.6,0.46,0.6,0.24,6
9.3,0.52,0.52,0.11,5
9.8,0.6,0.56,0.26,6
9.8,0.6,0.56,0.26,6
9.2,0.87,0.46,0.26,5
9.7,0.39,0.43,0.1,6
9.6,0.775,0.51,0.22,5
10.0,0.835,0.52,0.0,5
12.6,0.58,0.66,0.02,6
9.5,0.5,0.45,0.0,5
9.5,0.5,0.45,0.0,5
9.5,0.5,0.45,0.0,5
10.5,0.51,0.54,0.02,6
10.5,0.51,0.54,0.02,6
10.5,0.51,0.54,0.02,6
10.4,0.54,0.51,0.02,6
10.5,0.51,0.54,0.02,6
11.0,0.42,0.53,0.48,5
10.2,0.44,0.53,0.24,6
11.4,0.59,0.56,0.01,5
9.5,0.655,0.39,0.03,5
9.5,0.655,0.39,0.03,5
10.8,0.57,0.52,0.0,5
10.0,0.6,0.57,0.29,5
11.8,0.62,0.51,0.01,6
10.3,0.645,0.46,0.03,5
10.3,0.645,0.46,0.03,5
10.0,0.58,0.52,0.03,5
10.1,0.32,0.44,0.25,5
10.1,0.34,0.44,0.25,5
11.1,0.43,0.59,0.24,6
9.5,0.64,0.5,0.17,5
10.0333333333333,0.475,0.65,0.4,6
10.9,0.54,0.56,0.31,5
10.1,0.85,0.54,0.14,5
10.0333333333333,0.475,0.65,0.4,6
9.8,0.83,0.48,0.27,4
11.8,0.605,0.53,0.02,6
9.5,0.5,0.62,0.09,5
9.8,0.74,0.5,0.08,5
10.5,0.54,1.18,0.3,6
9.8,0.77,0.5,0.32,6
10.4,0.61,0.37,0.0,4
9.2,0.78,1.17,0.51,5
11.6,0.58,1.03,0.56,6
9.2,0.78,1.17,0.51,5
9.3,0.75,0.45,0.27,5
9.8,0.815,0.51,0.0,3
9.9,0.56,0.52,0.26,5
10.0,0.885,0.46,0.2,5
12.2,0.49,0.62,0.26,6
9.9,0.45,0.51,0.15,6
10.8,0.57,0.62,0.02,6
10.8,0.57,0.62,0.02,6
9.6,0.83,0.45,0.09,5
9.9,0.6,0.49,0.22,5
9.9,0.6,0.49,0.22,5
9.5,0.755,0.5,0.15,5
9.2,0.81,0.42,0.25,5
9.6,0.64,0.58,0.07,5
9.6,0.64,0.58,0.07,5
10.3,0.64,0.68,0.31,5
9.7,0.48,0.53,0.02,5
12.5,0.49,0.59,0.0,6
11.0,0.64,0.58,0.22,5
9.8,0.62,0.48,0.06,5
10.2,0.52,0.48,0.25,5
9.2,0.57,0.48,0.14,5
9.55,0.685,0.65,0.1,6
9.55,0.675,0.65,0.1,5
9.9,0.59,0.52,0.26,5
10.2,0.6,0.62,0.12,7
11.1,0.67,0.72,0.0,6
9.9,0.69,0.51,0.21,5
9.9,0.69,0.51,0.21,5
11.9,0.3,0.82,0.42,6
10.0,0.33,1.1,0.33,8
10.7,0.5,0.62,0.39,6
11.3,0.28,0.9,0.3,7
10.9,0.24,0.94,0.34,6
10.7,0.51,0.93,0.0,6
12.4,0.29,1.01,0.36,7
10.7,0.51,0.93,0.0,6
11.9,0.96,0.44,0.0,6
10.6,0.47,0.73,0.4,6
10.9,0.24,0.94,0.34,6
10.1,0.57,0.9,0.25,5
9.6,0.32,0.78,0.59,5
9.4,0.58,0.84,0.0,5
9.6,0.32,0.78,0.59,5
12.1,0.34,0.77,0.33,7
9.8,0.53,0.46,0.01,5
9.9,0.64,0.45,0.21,5
9.8,0.53,0.46,0.01,5
9.4,0.4,0.58,0.18,5
11.4,0.54,0.84,0.0,6
11.0,0.53,0.67,0.09,4
9.6,0.26,0.7,0.37,6
9.6,0.26,0.7,0.37,6
12.1,0.23,0.71,0.37,6
11.2,0.41,0.58,0.33,5
11.0,0.64,0.63,0.0,5
11.3,0.18,0.93,0.4,5
10.4,0.41,0.62,0.24,5
9.9,0.43,0.54,0.31,6
11.7,0.44,0.85,0.0,6
10.1,0.4,0.74,0.16,7
9.0,0.54,0.77,0.37,6
9.0,0.54,0.77,0.37,6
8.5,0.38,0.65,0.38,5
11.1,0.915,0.54,0.29,5
10.3,0.59,0.47,0.0,5
11.066666666666698,0.67,0.68,0.02,6
11.3,0.37,0.73,0.32,7
9.56666666666667,0.785,0.52,0.19,6
9.8,0.63,0.75,0.02,5
11.7,0.58,0.49,0.2,5
11.1,0.67,0.68,0.02,6
9.6,0.785,0.52,0.19,6
9.8,0.63,0.75,0.02,5
9.7,0.67,0.74,0.0,5
9.7,0.58,0.73,0.01,5
11.3,0.38,0.76,0.31,8
11.3,0.37,0.73,0.32,7
11.0,0.32,0.78,0.44,7
11.6,0.58,0.76,0.02,7
9.0,0.49,0.58,0.33,5
10.9,0.45,0.69,0.63,6
10.9,0.9,0.63,0.0,6
10.55,0.54,0.5,0.06,6
9.0,0.49,0.58,0.33,5
10.5,0.29,0.6,0.4,5
11.9,0.2,0.8,0.35,7
10.4,0.42,0.68,0.09,6
10.0,0.785,0.61,0.0,4
10.4,0.64,0.58,0.03,6
10.8,0.63,0.53,0.01,6
9.7,0.59,0.67,0.1,5
9.7,0.59,0.67,0.1,5
10.0,0.48,0.65,0.32,7
11.0,1.04,0.57,0.08,4
10.0,0.48,0.65,0.32,7
9.7,0.98,0.55,0.05,3
9.7,0.69,0.47,0.11,5
12.6,0.7,0.52,0.08,5
11.1,0.35,0.79,0.6,6
11.0,0.6,0.54,0.08,5
8.8,0.5,0.75,0.5,5
13.566666666666698,0.47,0.88,0.11,7
8.8,0.5,0.75,0.5,5
13.6,0.47,0.88,0.11,7
10.2,0.875,0.52,0.05,3
10.6,0.28,0.68,0.6,5
10.1,0.62,0.62,0.03,4
10.6,0.28,0.68,0.6,5
10.3,0.58,0.57,0.54,4
10.7,0.33,0.61,0.44,5
10.9,0.91,0.64,0.06,4
9.7,0.655,0.55,0.16,5
10.3,0.68,0.6,0.21,5
10.6,0.64,0.78,0.05,5
11.4,0.54,0.58,0.04,5
10.8,0.57,0.76,0.1,6
12.4,0.22,0.56,0.49,6
11.4,0.54,0.58,0.04,5
11.95,0.65,0.54,0.06,5
9.7,0.54,0.59,0.26,5
10.0,0.31,0.7,0.09,7
10.6,0.43,0.81,0.02,6
9.7,0.54,0.59,0.26,5
11.5,0.74,0.63,0.03,6
10.8,0.895,0.58,0.04,6
11.5,0.74,0.63,0.03,6
9.6,0.725,0.53,0.04,5
9.4,0.82,0.53,0.29,5
9.8,0.585,0.54,0.18,5
11.0,0.44,0.69,0.39,6
11.4,0.38,0.55,0.57,6
9.95,0.76,0.63,0.02,3
10.8,0.81,0.66,0.05,6
11.4,0.38,0.55,0.57,6
10.6,0.27,0.72,0.6,6
11.1,0.18,0.7,0.4,5
9.7,0.36,0.77,0.21,6
9.8,0.69,0.67,0.04,5
10.4,0.79,0.65,0.04,6
10.5,0.56,0.6,0.15,6
9.23333333333333,0.84,0.72,0.21,6
9.25,0.84,0.72,0.21,6
10.6,0.32,0.97,0.25,5
10.3,0.53,0.83,0.06,6
10.5,0.47,0.63,0.46,5
10.2,0.7,0.58,0.08,5
10.3,0.53,0.83,0.06,6
9.05,0.48,0.43,0.2,4
10.6,0.32,0.97,0.25,5
10.4,0.48,0.6,0.25,5
10.0,0.42,0.78,0.19,6
9.7,0.48,0.64,0.08,5
9.6,0.47,0.65,0.08,6
10.8,0.53,0.66,0.07,6
10.1,0.29,0.67,0.49,6
10.2,0.69,0.6,0.08,6
11.3,0.44,0.69,0.09,6
10.2,0.705,0.66,0.1,5
9.9,0.53,0.68,0.13,6
9.0,0.39,0.61,0.3,5
11.7,0.56,0.62,0.14,7
9.7,0.55,0.59,0.13,6
10.3,0.53,0.68,0.08,6
10.2,0.58,0.64,0.08,6
12.0,0.64,0.63,0.09,5
9.9,0.39,0.78,0.32,5
11.6,0.52,0.63,0.08,6
10.9,0.25,0.76,0.29,7
10.75,0.855,0.56,0.02,6
10.4,0.44,0.57,0.42,6
11.2,0.37,0.81,0.43,7
10.1,0.63,0.64,0.33,6
10.2,0.57,0.61,0.02,5
12.1,0.6,0.51,0.1,5
10.4,0.4,0.58,0.5,5
11.4,0.36,0.7,0.3,8
9.5,0.68,0.53,0.0,5
9.4,0.67,0.54,0.0,5
11.3,0.68,0.66,0.01,6
9.4,0.735,0.6,0.0,5
11.0,0.855,0.6,0.02,6
10.55,0.56,0.68,0.17,7
9.9,0.88,0.56,0.04,5
11.0,0.855,0.6,0.02,6
9.5,0.63,0.56,0.33,5
9.9,0.6,0.52,0.26,5
9.9,0.6,0.52,0.26,5
9.9,0.6,0.52,0.26,5
10.1,0.695,0.54,0.13,5
10.1,0.695,0.54,0.13,5
10.1,0.695,0.54,0.13,5
10.9,0.67,0.82,0.02,6
11.2,0.16,0.71,0.64,6
10.1,0.695,0.54,0.13,5
9.2,0.56,0.59,0.13,5
11.5,0.51,0.57,0.14,6
12.4,0.36,0.93,0.53,6
11.1,0.38,0.65,0.14,6
9.5,0.69,0.51,0.32,5
12.5,0.58,0.67,0.2,6
10.5,0.31,0.48,0.78,6
11.8,0.52,0.64,0.4,6
10.8,0.3,0.78,0.63,6
11.9,0.7,0.6,0.15,6
11.3,0.67,0.67,0.15,6
11.3,0.56,0.6,0.09,5
11.9,0.35,0.6,0.33,6
11.3,0.56,0.6,0.09,5
11.9,0.715,0.5,0.1,5
9.8,0.46,0.62,0.29,5
11.6,0.32,0.8,0.44,7
11.5,0.39,0.84,0.44,6
11.4,0.31,0.85,0.41,6
10.9,0.61,0.66,0.11,6
12.8,0.66,0.78,0.33,6
9.2,0.725,0.54,0.2,5
11.6,0.55,0.82,0.15,6
11.6,0.74,0.56,0.09,6
11.0,0.51,0.75,0.13,6
9.5,0.62,0.82,0.08,6
10.5,0.6,0.58,0.08,5
11.2,0.55,0.76,0.1,6
11.0,0.51,0.75,0.13,6
10.2,0.645,0.71,0.12,5
11.0,0.31,0.66,0.47,6
